nvalues,tauhats,sehats,lb,ub
10,19.422878569838034,81.55049345677851,-140.41608860544784,179.26184574512394
12,86.94209035545119,107.30692164637219,-123.3794760714383,297.26365678234066
14,23.149575622931707,58.552581920208546,-91.61348494067704,137.91263618654045
16,83.66315693490108,51.07370643837323,-16.441307684310445,183.76762155411262
18,51.75688554013979,124.01552087804765,-191.3135353808336,294.82730646111315
20,-152.4641727078991,118.6654786923662,-385.0485109449369,80.12016552913863
22,152.36970102581185,95.95436259050264,-35.70084965157332,340.440251703197
24,52.976172472556385,61.4378080185643,-67.44193124382963,173.3942761889424
26,2.745151160770334,76.7175189613094,-147.62118600339608,153.11148832493677
28,69.19494258335162,70.3119699761653,-68.61651856993238,207.0064037366356
30,63.06145815566629,70.96498310677559,-76.02990873361387,202.15282504494644
32,-34.38039135550392,68.8662261358406,-169.3581945817515,100.59741187074366
34,-2.5140835212953903,58.45262009865168,-117.08121891465268,112.0530518720619
36,101.4303517963572,59.36304843024542,-14.92122312692382,217.78192671963822
38,5.750924861811042,64.44407873664494,-120.55946946201304,132.0613191856351
40,-118.13521148701886,58.65383209157902,-233.09672238651376,-3.1737005875239817
42,-20.504164998812602,41.806135116197616,-102.44418982655992,61.435859828934724
44,116.8106281445277,51.53736199322898,15.797398637798906,217.8238576512565
46,-35.493176809179914,41.62824236970995,-117.08453185381141,46.098178235451584
48,36.70040792196907,76.0100375514077,-112.27926567879004,185.68008152272816
50,59.57827905711247,45.61648252125442,-29.830026684546198,148.98658479877113
52,79.43283194303237,69.37962962915111,-56.551242130103816,215.41690601616855
54,87.28939191209469,52.436043919384474,-15.48525416989888,190.06403799408827
56,-86.62156942160901,63.96709100127697,-211.99706778411186,38.75392894089384
58,-8.457777167865153,39.67250220719854,-86.21588149397428,69.30032715824399
60,19.814932580906913,80.15058506985487,-137.28021415600864,176.91007931782246
62,-96.81304109260579,35.89918937552005,-167.1754522686251,-26.45062991658648
64,-16.128829193255548,22.28718177462761,-59.81170547152566,27.554047085014567
66,66.62759541796238,31.98183143615393,3.943205803100682,129.31198503282408
68,-38.93321874099688,33.6878309932012,-104.96136748767124,27.094930005677483
70,-17.480619922238702,43.72884876756092,-103.1891635066581,68.2279236621807
72,-3.7988500167245434,39.23679234094136,-80.70296300496962,73.10526297152053
74,29.59707745348318,35.900517648214404,-40.76793713701704,99.9620920439834
76,55.21577903472344,37.48941576806533,-18.2634758706846,128.69503394013148
78,-162.61801170777977,51.30515441866717,-263.1761143683674,-62.05990904719212
80,0.010204715058273806,48.87610907067769,-95.78696906347,95.80737849358655
82,85.6065650041182,57.350331748082574,-26.80008522212364,198.01321523036003
84,-14.896641555625804,42.920544032450465,-99.02090785922871,69.2276247479771
86,-1.861734558343798,32.05408869766496,-64.68774840576711,60.96427928907952
88,8.575279584260457,36.416757577366624,-62.80156526737812,79.95212443589904
90,1.2460350536543174,32.201056906376614,-61.86803648284385,64.36010659015248
92,18.129687181973186,29.830677860219303,-40.338441424056654,76.59781578800302
94,25.948320426464754,53.67019342775805,-79.24525869194102,131.14189954487054
96,15.556170572166646,40.028065281860925,-62.89883738028077,94.01117852461407
98,-22.137463091450982,41.41097316136857,-103.30297048773338,59.02804430483141
100,-21.08870397059882,40.713665539578386,-100.88748842817245,58.71008048697481
102,1.5241734742104995,28.22568477149348,-53.79816867791672,56.84651562633772
104,-12.777862117970955,37.41625631743219,-86.11372450013805,60.55800026419614
106,-26.467264143486556,31.596771807772456,-88.39693688672057,35.46240859974746
108,51.25918951646571,34.63853330135301,-16.632335754186187,119.15071478711761
110,70.30855831290569,44.59050302604487,-17.08882761814226,157.70594424395364
112,16.908381429843473,32.756512154161214,-47.2943823923125,81.11114525199945
114,12.22155465964503,25.66762858467599,-38.08699736631991,62.53010668560997
116,-17.23462238483979,23.970650873406584,-64.21709809671668,29.747853327037113
118,4.762068489726464,30.86128285473874,-55.72604590556146,65.2501828850144
120,61.13439534072415,23.454587094894073,15.163404634731762,107.10538604671653
122,8.936536412271362,22.502463930611054,-35.168292891726296,53.04136571626903
124,33.45536693486785,36.814391751967996,-38.70084089898942,105.61157476872512
126,-5.717748646044397,19.710243292217505,-44.34982549879071,32.91432820670191
128,7.175337665994231,23.02280126564271,-37.949352814665474,52.30002814665394
130,-96.95993175555165,35.433632631617186,-166.40985171352133,-27.510011797581967
132,-6.176268519480489,30.940599341571385,-66.81984322896041,54.46730618999943
134,5.4446535630455575,28.705797312741357,-50.8187091699275,61.70801629601861
136,-28.70238263330041,29.57094151237276,-86.66142799755102,29.256662730950197
138,-85.92999966987534,28.954352997008733,-142.68053154401247,-29.179467795738226
140,-10.69739161303695,30.739135085165394,-70.94609637996112,49.55131315388722
142,-15.417375308953272,22.073040559707973,-58.6805348059809,27.845784188074358
144,6.452600734087426,22.490745421448075,-37.6292602919508,50.53446176012565
146,21.752942477151237,35.08544516986943,-47.01453005579285,90.52041501009532
148,84.16958631294652,28.634240346154574,28.04647523448356,140.2926973914095
150,26.31827260564205,23.488722490099647,-19.71962347495326,72.35616868623737
152,24.873367010963563,34.09648618665225,-41.95574591487484,91.70247993680196
154,-4.1076668275357004,38.883374202825024,-80.31908026507274,72.10374661000135
156,-37.21145681784857,27.714063391891756,-91.53102106595641,17.108107430259267
158,10.642572136161274,20.47669230770756,-29.491744786945542,50.776889059268086
160,-10.298997247459573,28.569806571886705,-66.29581812835751,45.69782363343837
162,-11.024222102246279,28.146381065540794,-66.19112899070623,44.14268478621368
164,-4.895845581610776,34.544167986928244,-72.60241483599013,62.81072367276858
166,-21.306558120876556,26.775132471706424,-73.78581776542114,31.172701523668035
168,-3.7878745653215375,23.49781212906497,-49.84358633828888,42.267837207645805
170,0.2479159526378485,29.043192358454466,-56.6767410699329,57.172572975208595
172,26.795172612875916,26.713480145848788,-25.56324847298771,79.15359369873954
174,23.186706159311505,18.227482372644353,-12.539159291071428,58.91257160969444
176,-19.218881396873787,28.253384557840313,-74.5955151302408,36.15775233649323
178,36.996329403553915,24.897656398495407,-11.803077137497084,85.79573594460491
180,-21.522586686046463,23.05658309695704,-66.71348955608227,23.668316183989337
182,41.10324558311675,19.590711978131075,2.7054501059798426,79.50104106025367
184,-15.51599329577509,28.89745632509985,-72.1550076929708,41.12302110142061
186,9.760528414549652,25.94766928952202,-41.096903392913504,60.61796022201281
188,-8.35688795169902,17.383895512152428,-42.42932315551778,25.715547252119734
190,9.743312792946744,22.41752275570206,-34.19503180822929,53.68165739412278
192,10.930950182946082,22.418559544480804,-33.00942652423629,54.87132689012846
194,40.655031203989225,29.147447997054766,-16.473966870238115,97.78402927821656
196,-35.43539236535497,24.39766268268321,-83.25481122341407,12.384026492704123
198,30.371921169777647,20.389535269560987,-9.591567958561885,70.33541029811718
200,-7.833691089530497,32.7566103077461,-72.03664729271284,56.369265113651856
202,6.821582248382802,19.10325345257769,-30.62079451866947,44.26395901543508
204,-45.741196663450104,24.510423901626208,-93.78162751063746,2.299234183737262
206,-8.851017959457751,16.431854417538467,-41.05745261783314,23.355416698917644
208,-1.0421443138534272,20.97454215366648,-42.15224693503973,40.06795830733287
210,53.48586848443179,20.989730237079733,12.345997219755517,94.62573974910806
212,13.23671143109724,26.84165116269796,-39.37292484779076,65.84634770998524
214,-13.72293508177572,27.483214898433783,-67.59003628270594,40.14416611915449
216,30.728343285887917,24.23219150158933,-16.766752057227173,78.223438629003
218,4.121836566184626,29.130050537823816,-52.97306248795005,61.216735620319305
220,21.96468228359967,20.75771806641461,-18.72044512657297,62.64980969377231
222,-15.904871074728526,30.039240677957334,-74.78178280352489,42.97204065406785
224,79.6916920022198,25.791359383797797,29.140627609976114,130.24275639446347
226,-12.059362988709045,20.310168355618565,-51.86729296572143,27.748566988303338
228,6.192099133757987,16.977366911648343,-27.083540013072763,39.46773828058873
230,18.49230835068275,22.964711390273276,-26.51852597425287,63.50314267561838
232,-2.7367613837700637,21.64275344740226,-45.15655814067849,39.68303537313836
234,22.90880148608592,27.290373284894798,-30.58033015230788,76.39793312447972
236,18.33510591157515,22.442483033547663,-25.652160834178268,62.322372657328565
238,-18.859828124032383,31.911123893827945,-81.40563095593515,43.685974707870386
240,13.179159772776451,27.42582036973245,-40.575448151899145,66.93376769745205
242,-33.60808764761025,22.55161946654864,-77.80926180204558,10.593086506825088
244,-8.209899354478098,20.908584538615447,-49.190725050164374,32.77092634120818
246,-49.00602293828372,21.991457694970183,-92.10928002042527,-5.90276585614216
248,-29.137194910078012,16.694669543148848,-61.85874721464975,3.5843573944937326
250,-20.846750001685443,21.117682741830784,-62.23740817567378,20.543908172302892
252,-2.5055232719662897,28.784609808813133,-58.92335849724003,53.91231195330745
254,-0.9571549107884634,22.809475161846873,-45.66372622800833,43.74941640643141
256,-1.3787643949156987,28.01782467958196,-56.293700766896336,53.53617197706494
258,-54.57214882996552,23.10650586037634,-99.86090031630314,-9.28339734362789
260,1.6924603654873631,18.44781947642267,-34.46526580830107,37.850186539275796
262,-52.55534296574723,30.19013340960691,-111.72800444857677,6.617318517082317
264,-22.75340684896911,22.178303620212994,-66.22288194458658,20.71606824664836
266,14.744456669105379,24.86067214132682,-33.98246072789519,63.47137406610594
268,6.771494205328896,17.5338161877163,-27.594785522595057,41.137773933252845
270,-78.38570129045655,35.9114616532286,-148.77216613078463,-7.9992364501284925
272,-11.885879737871855,22.27167072330084,-55.5383543555415,31.766594879797793
274,8.959152509484687,19.88563313030799,-30.01668842591897,47.93499344488835
276,-2.0958102304220176,15.080347214954307,-31.653290771732458,27.461670310888422
278,4.611439073026391,20.76245828363052,-36.08297916288943,45.30585730894221
280,-23.42866892797099,24.712332690717627,-71.86484100177753,25.007503145835557
282,17.375985730758902,24.033830026908714,-29.730321121982175,64.48229258349998
284,4.3439147824444815,21.441760864699262,-37.68193651236607,46.36976607725503
286,-12.80092270478315,23.17737527544086,-58.22857824464724,32.62673283508093
288,-32.917311751711566,17.989780810676514,-68.17728214063753,2.3426586372143987
290,-22.41701542079493,20.42820720349997,-62.45630153965487,17.622270698065012
292,3.5636194173256666,15.832830168717079,-27.468727713359804,34.59596654801114
294,2.2702765859605996,15.598302830622673,-28.30239696205984,32.84295013398104
296,39.45899939619855,22.047030966970983,-3.753181299064579,82.67118009146168
298,-8.662522550986374,21.288404596298896,-50.38779555973221,33.06275045775946
300,-8.913896618665202,17.04848732876957,-42.32893178305356,24.501138545723155
302,0.7508652833850319,19.589435822198254,-37.644428928123546,39.14615949489361
304,24.13660169794286,22.53362733933442,-20.0293078871526,68.30251128303833
306,29.733850417683975,18.399148859375835,-6.328481346692662,65.79618218206062
308,46.533578246696834,29.080926793625565,-10.465038268809273,103.53219476220295
310,-0.4587930668477611,26.759269308535337,-52.90696091157702,51.9893747778815
312,22.584094664198428,20.2705218616619,-17.146128184658895,62.314317513055755
314,10.26417256183672,15.72862744568768,-20.563937231711133,41.09228235538457
316,-14.564802988324029,19.35729835366453,-52.50510776150651,23.375501784858447
318,-7.714617887256647,22.9704508689892,-52.73670159047548,37.30746581596219
320,-11.81328668424544,19.97014025648325,-50.954761586952614,27.328188218461733
322,-19.190292866053515,20.086019767160796,-58.55889160968867,20.178305877581646
324,-50.448534411366104,23.562608966287346,-96.63124798528929,-4.265820837442909
326,-23.30396727863862,19.016562379004323,-60.57642954148709,13.968494984209851
328,-16.813041455451447,21.457118408404863,-58.86899353592498,25.242910625022084
330,-48.31712327109895,21.943190039270192,-91.32577574806852,-5.308470794129377
332,-20.320391684478572,20.055380068943496,-59.62893661960782,18.988153250650676
334,-14.081836716055804,23.290070710562084,-59.73037530875749,31.56670187664588
336,-2.715519416256435,19.353604115540165,-40.64858348271515,35.217544650202285
338,-6.130168737029383,19.441561648993655,-44.23562956905694,31.975292094998178
340,10.95509184103668,22.68688263367779,-33.511198120971784,55.42138180304515
342,0.47520911377417274,14.020501386765403,-27.004973604286015,27.955391831834362
344,15.336291568482553,21.220632586400303,-26.256148300862044,56.928731437827146
346,-7.915599378634379,20.1189745488436,-47.348789494367836,31.517590737099074
348,-39.36215126829626,19.05492309820568,-76.70980054077938,-2.014501995813127
350,-3.712217792139512,22.531933702736318,-47.874807849502695,40.45037226522367
352,3.8602474031835285,25.23409773552803,-45.59858415845141,53.319078964818466
354,-13.426516509647247,21.461134902382096,-55.49034091831615,28.63730789902166
356,-4.88934160827718,22.291507114726176,-48.58069555314048,38.802012336586124
358,-9.463197127757656,20.386508506205576,-49.42075379992059,30.494359544405274
360,4.567213871309372,13.96675823234831,-22.807632264093314,31.94206000671206
362,-2.5694182759798423,26.185705112175253,-53.893400295843335,48.75456374388365
364,21.14405801455939,18.06818574926287,-14.26958605399583,56.55770208311461
